Datum,Relativt arbetslöshetstal,Ungdomsarbetslöshetstal (under 25 år),Arbetslöshetstal 55 år o äldre,"Långtidsarbetslöshetstal, 6 mån +",Långtidsarbetslöshetstal under 25 år,Långtidsarbetslöshetstal 55 år o äldre,Lediga platser / arbetslösa,val,Antal,Primärnäringar_omsättning,Livsmedelsindustri_omsättning,Övrig industri_omsättning,"Vatten, gas, el, värme och avloppshantering_omsättning",Byggverksamhet_omsättning,Handel_omsättning,Transport_omsättning,Hotell och restaurang_omsättning,Finans och försäkring_omsättning,Företagstjänster_omsättning,Personliga tjänster_omsättning,Totalsumma_omsättning,Primärnäringar_lön,Livsmedelsindustri_lön,Övrig industri_lön,"Vatten, gas, el, värme och avloppshantering_lön",Byggverksamhet_lön,Handel_lön,Transport_lön,Hotell och restaurang_lön,Finans och försäkring_lön,Företagstjänster_lön,Personliga tjänster_lön,Totalsumma_lön
2004-11-01,2.6,5.7,3.4,0.4,0.1,1.3,28.1,0.0,137887,2.3,5.3,9.5,3.0,9.8,36.7,68.6,2.0,1.2,7.9,1.0,147.4,2.3,5.3,9.5,3.0,9.8,36.7,68.6,2.0,1.2,7.9,1.0,147.4
2004-12-01,2.6,5.3,3.3,0.5,0.0,1.2,26.9,0.0,138981,3.1,6.3,8.3,4.7,10.6,40.8,62.0,2.2,1.4,12.3,1.2,152.8,3.1,6.3,8.3,4.7,10.6,40.8,62.0,2.2,1.4,12.3,1.2,152.8
2005-01-01,2.9,6.1,3.4,0.5,0.0,1.0,65.4,0.0,104493,1.6,3.6,6.6,3.5,7.0,29.4,47.4,1.8,0.8,6.4,1.1,109.1,1.6,3.6,6.6,3.5,7.0,29.4,47.4,1.8,0.8,6.4,1.1,109.1
2005-02-01,2.6,4.5,3.2,0.6,0.1,1.3,114.0,0.0,128129,1.2,3.4,6.7,3.7,6.3,29.5,52.7,1.4,2.7,6.6,0.8,115.2,1.2,3.4,6.7,3.7,6.3,29.5,52.7,1.4,2.7,6.6,0.8,115.2
2005-03-01,2.6,4.3,3.0,0.6,0.1,1.3,107.6,0.0,157623,1.1,5.3,8.8,4.9,7.1,35.5,65.4,1.8,1.0,7.7,1.0,139.6,1.1,5.3,8.8,4.9,7.1,35.5,65.4,1.8,1.0,7.7,1.0,139.6
2005-04-01,2.0,3.0,2.5,0.6,0.1,1.3,136.0,0.0,145598,0.9,5.7,9.3,3.6,8.4,36.1,55.2,2.3,1.5,8.0,1.2,132.2,0.9,5.7,9.3,3.6,8.4,36.1,55.2,2.3,1.5,8.0,1.2,132.2
2005-05-01,1.9,2.8,2.1,0.6,0.2,0.7,98.5,0.0,205255,1.0,4.6,10.4,2.9,9.0,40.7,67.1,3.6,1.8,7.9,1.6,150.5,1.0,4.6,10.4,2.9,9.0,40.7,67.1,3.6,1.8,7.9,1.6,150.5
2005-06-01,1.9,2.8,1.8,0.5,0.1,1.1,71.1,0.0,220796,1.1,6.6,10.2,4.1,10.8,39.2,65.7,4.3,1.3,9.3,1.4,154.2,1.1,6.6,10.2,4.1,10.8,39.2,65.7,4.3,1.3,9.3,1.4,154.2
2005-07-01,2.0,3.1,1.7,0.5,0.1,1.0,62.5,0.0,327980,1.2,5.4,6.9,2.7,5.4,39.2,79.7,7.4,1.3,7.2,1.8,158.2,1.2,5.4,6.9,2.7,5.4,39.2,79.7,7.4,1.3,7.2,1.8,158.2
2005-08-01,2.4,5.2,2.0,0.4,0.1,0.9,40.3,0.0,247532,1.4,5.3,9.5,2.8,7.7,40.9,67.3,5.2,1.1,8.1,1.5,150.9,1.4,5.3,9.5,2.8,7.7,40.9,67.3,5.2,1.1,8.1,1.5,150.9
2005-09-01,2.0,4.6,2.3,0.3,0.1,0.6,38.9,0.0,174650,1.4,5.1,9.9,3.5,8.1,38.2,62.0,3.2,1.2,7.8,1.4,141.8,1.4,5.1,9.9,3.5,8.1,38.2,62.0,3.2,1.2,7.8,1.4,141.8
2005-10-01,2.3,4.6,2.6,0.3,0.0,0.6,34.1,0.0,164756,2.6,5.3,9.9,3.6,8.8,38.4,103.3,2.4,0.8,9.0,1.2,185.3,2.6,5.3,9.9,3.6,8.8,38.4,103.3,2.4,0.8,9.0,1.2,185.3
2005-11-01,2.4,4.9,2.7,0.3,0.1,0.5,52.0,0.0,151644,2.7,5.8,9.4,4.1,10.6,40.7,57.5,2.0,1.5,8.2,1.1,143.7,2.7,5.8,9.4,4.1,10.6,40.7,57.5,2.0,1.5,8.2,1.1,143.7
2005-12-01,2.3,4.3,2.9,0.3,0.1,0.7,60.0,0.0,149333,3.6,6.4,9.1,5.6,10.8,46.7,30.0,2.3,1.1,10.7,1.3,127.6,3.6,6.4,9.1,5.6,10.8,46.7,30.0,2.3,1.1,10.7,1.3,127.6
2006-01-01,2.6,6.8,2.5,0.3,0.0,0.7,109.0,0.0,107141,1.3,4.5,8.2,5.2,5.5,31.2,50.4,1.7,3.3,6.9,0.9,119.0,1.3,4.5,8.2,5.2,5.5,31.2,50.4,1.7,3.3,6.9,0.9,119.0
